OBJECTID;Código upz;Nombre upz;Total Homicidios 2019;Total Lesiones Personales 2019;Total Hurto Personas 2019;Total Hurto Residencias 2019;Total Hurto Automotores 2019;Total Hurto Bicicletas 2019;Total Hurto Comercio 2019;Total Hurto Celulares 2019;Total Hurto Motocicletas 2019;Total Delitos Sexuales 2019;Total Violencia intrafamiliar 2019;Total Hechos delitos de alto impacto;coord_x;coord_y
368;UPZ84;Bosa Occidental;18;417;886;234;40;122;145;407;125;114;863;3371;-74,18986187;4,623847347
365;UPZ28;El Rincon;25;435;1,602;244;55;203;233;806;111;140;946;3199,602;-74,09445917;4,731901035
350;UPZ69;Ismael Perdomo;26;369;801;102;41;42;94;421;71;109;740;2816;-74,17093613;4,58533416
344;UPZ47;Kennedy Central;7;239;970;121;63;119;191;396;73;65;389;2633;-74,1563162;4,621781184
362;UPZ82;Patio Bonito;26;406;1,408;129;41;146;101;905;115;91;665;2626,408;-74,1703481;4,640808126
372;UPZ67;Lucero;39;588;657;118;12;13;95;332;68;124;580;2626;-74,14954671;4,549873754
334;UPZ85;Bosa Central;28;657;1,668;191;44;195;214;888;127;172;1,428;2519,096;-74,19439387;4,607838372
352;UPZ42;Venecia;32;561;1,501;84;42;84;198;741;46;81;638;2508,501;-74,13942102;4,582924584
327;UPZ39;Quiroga;7;206;995;76;44;59;155;492;73;50;249;2406;-74,11846045;4,582596217
321;UPZ48;Timiza;12;309;668;108;71;70;94;319;78;72;590;2391;-74,16178435;4,608607775
329;UPZ26;Las Ferias;3;202;1,76;129;91;154;458;893;53;70;279;2333,76;-74,09072012;4,681598551
363;UPZ40;Ciudad Montes;12;145;894;112;104;44;160;413;59;34;342;2319;-74,11236172;4,607028706
342;UPZ71;Tibabuyes;14;342;927;157;54;85;86;415;79;140;1,051;2300,051;-74,11436632;4,745965835
353;UPZ34;20 De Julio;1;284;720;62;31;15;186;369;50;67;386;2171;-74,09482579;4,565081194
373;UPZ57;Gran Yomasa;20;365;581;119;36;8;127;283;37;114;435;2125;-74,11094217;4,515859837
400;UPZ43;San Rafael;5;178;851;85;73;44;181;381;43;27;236;2104;-74,11735283;4,620433831
387;UPZ31;Santa Cecilia;3;92;966;86;32;102;112;452;28;29;178;2080;-74,10815409;4,676938636
336;UPZ22;Doce De Octubre;1;113;958;78;33;66;162;396;20;31;209;2067;-74,07929994;4,671837988
374;UPZ86;El Porvenir;15;220;532;113;41;80;59;249;74;76;606;2065;-74,19210462;4,64160632
323;UPZ75;Fontibon;9;281;1,312;126;35;157;210;581;37;77;525;2039,312;-74,14393726;4,677027701
354;UPZ38;Restrepo;5;270;1,372;82;66;57;502;694;50;43;232;2002,372;-74,10650056;4,590698424
345;UPZ73;Garces Navas;8;212;1,07;192;61;160;273;531;64;63;426;1991,07;-74,12438089;4,714067569
429;UPZ21;Los Andes;0;136;957;49;9;85;163;441;5;14;52;1911;-74,06747776;4,682615141
343;UPZ30;Boyaca Real;3;209;1,402;170;55;126;185;688;46;49;377;1909,402;-74,10361254;4,694854407
406;UPZ24;Niza;4;145;846;95;24;61;131;334;14;47;190;1891;-74,07363635;4,717498092
366;UPZ98;Los Alcazares;3;177;1,911;96;38;113;266;962;30;30;153;1869,911;-74,06818628;4,662438036
330;UPZ80;Corabastos;10;276;654;52;17;70;73;320;27;44;326;1869;-74,16175959;4,630199836
408;UPZ110;Ciudad Salitre Occidental;2;56;999;33;6;55;144;465;7;11;58;1836;-74,1116951;4,655403571
339;UPZ46;Castilla;4;216;1,345;139;118;117;153;614;71;62;339;1834,345;-74,14292812;4,642393883
435;UPZ74;Engativa;18;188;430;158;27;68;62;205;73;68;505;1802;-74,1398615;4,713929673
404;UPZ27;Suba;3;150;1,225;111;30;135;232;547;42;63;455;1769,225;-74,08773972;4,750272568
432;UPZ45;Carvajal;10;272;1,219;116;67;62;194;550;58;75;334;1739,219;-74,14149443;4,606947524
405;UPZ72;Bolivia;1;60;817;44;48;92;69;408;16;27;149;1731;-74,11588357;4,725173437
431;UPZ54;Marruecos;8;324;529;71;21;12;62;239;38;69;356;1729;-74,11572574;4,557628887
335;UPZ50;La Gloria;4;253;437;67;17;4;81;234;47;80;472;1696;-74,08913674;4,546687243
359;UPZ44;Americas;7;212;1,432;99;95;67;197;691;35;34;221;1659,432;-74,13444029;4,622800091
338;UPZ70;Jerusalem;20;262;380;68;11;16;36;198;36;90;506;1623;-74,16528349;4,565662767
