OBJECTID,Código upz,Nombre upz,Mes,Total Homicidios 2018,Total Homicidios 2019,Total Homicidios 2020,Total Homicidios 2021,Total Homicidios 2022,Total Homicidios 2023,Total Hurto Automotores 2023,Variación Homicidios %,Total Homicidios Año Actual Bogotá D.C,Total Lesiones Personales 2018,Total Lesiones Personales 2019,Total Lesiones Personales 2020,Total Lesiones Personales 2021,Total Lesiones Personales 2022,Total Lesiones Personales 2023,Variación Lesiones Personales %,Total Lesiones Personales Año Actual Bogotá D.C,Total Hurto Personas 2018,Total Hurto Personas 2019,Total Hurto Personas 2020,Total Hurto Personas 2021,Total Hurto Personas 2022,Total Hurto Personas 2023,Variación Hurto Personas %,Total Hurto Personas Año Actual Bogotá D.C,Total Hurto Residencias 2018,Total Hurto Residencias 2019,Total Hurto Residencias 2020,Total Hurto Residencias 2021,Total Hurto Residencias 2022,Total Hurto Residencias 2023,Variación Hurto Residencias %,Total Hurto Residencias Año Actual Bogotá D.C,Total Hurto Automotores 2018,Total Hurto Automotores 2019,Total Hurto Automotores 2020,Total Hurto Automotores 2021,Total Hurto Automotores 2022,Variación Hurto Automotores %,Total Hurto Automotores Año Actual Bogotá D.C,Total Hurto Bicicletas 2018,Total Hurto Bicicletas 2019,Total Hurto Bicicletas 2020,Total Hurto Bicicletas 2021,Total Hurto Bicicletas 2022,Total Hurto Bicicletas 2023,Variación Hurto Bicicletas %,Total Hurto Bicicletas Año Actual Bogotá D.C,Total Hurto Comercio 2018,Total Hurto Comercio 2019,Total Hurto Comercio 2020,Total Hurto Comercio 2021,Total Hurto Comercio 2022,Total Hurto Comercio 2023,Variación Hurto Comercio %,Total Hurto Comercio Año Actual Bogotá D.C,Total Hurto Celulares 2018,Total Hurto Celulares 2019,Total Hurto Celulares 2020,Total Hurto Celulares 2021,Total Hurto Celulares 2022,Total Hurto Celulares 2023,Variación Hurto Celulares %,Total Hurto Celulares Año Actual Bogotá D.C,Total Hurto Motocicletas 2018,Total Hurto Motocicletas 2019,Total Hurto Motocicletas 2020,Total Hurto Motocicletas 2021,Total Hurto Motocicletas 2022,Total Hurto Motocicletas 2023,Variación Hurto Motocicletas %,Total Hurto Motocicletas Año Actual Bogotá D.C,Total Delitos Sexuales 2018,Total Delitos Sexuales 2019,Total Delitos Sexuales 2020,Total Delitos Sexuales 2021,Total Delitos Sexuales 2022,Total Delitos Sexuales 2023,Variación  Delitos Sexuales %,Total Delitos Sexuales Año Actual Bogotá D.C.,Total Violencia intrafamiliar 2018,Total Violencia intrafamiliar 2019,Total Violencia intrafamiliar 2020,Total Violencia intrafamiliar 2021,Total Violencia intrafamiliar 2022,Total Violencia intrafamiliar 2023,Variación  Violencia intrafamiliar %,Total Violencia intrafamiliar Año Actual Bogotá D.C.,coord_x,coord_y
330,UPZ80,Corabastos,Ene-Sep,18,10,25,27,28,29,18,3.57,791,286,276,165,269,427,184,-56.91,"13,261",643,654,478,564,"1,299",671,-48.34,"109,907",61,52,54,69,81,42,-48.15,"5,504",19,17,15,10,22,-18.18,"2,900",68,70,99,71,128,71,-44.53,"5,731",117,73,43,46,106,33,-68.87,"7,112",446,320,262,259,482,193,-59.96,"38,767",46,27,29,37,82,34,-58.54,"3,695",46,44,31,33,60,0,-100,0,279,326,265,299,694,197,-71.61,"21,471","-74,16175959176819","4,630199835770584"
331,UPZ11,San Cristobal Norte,Ene-Sep,6,7,6,5,8,6,9,-25,791,158,129,96,160,212,85,-59.91,"13,261",343,318,253,375,656,465,-29.12,"109,907",64,59,55,47,71,33,-53.52,"5,504",20,10,14,10,32,-71.88,"2,900",37,29,34,31,56,14,-75,"5,731",56,62,27,38,77,45,-41.56,"7,112",251,134,142,156,290,147,-49.31,"38,767",11,22,15,15,17,16,-5.88,"3,695",38,49,26,38,47,0,-100,0,236,232,254,291,365,193,-47.12,"21,471","-74,02318348226463","4,736285347296358"
332,UPZ59,Alfonso Lopez,Ene-Sep,13,14,13,10,21,5,12,-76.19,791,144,183,88,119,221,89,-59.73,"13,261",207,210,161,186,378,231,-38.89,"109,907",46,72,26,23,55,34,-38.18,"5,504",7,3,7,5,21,-42.86,"2,900",4,6,5,7,8,4,-50,"5,731",33,29,21,18,16,13,-18.75,"7,112",130,106,109,132,151,69,-54.30,"38,767",40,11,12,12,24,14,-41.67,"3,695",29,44,30,35,43,0,-100,0,169,267,224,174,427,183,-57.14,"21,471","-74,10260363302606","4,4939588191396345"
333,UPZ25,La Floresta,Ene-Sep,2,0,1,1,0,0,5,0,791,70,27,24,40,102,35,-65.69,"13,261",390,598,403,427,947,582,-38.54,"109,907",41,38,35,39,74,43,-41.89,"5,504",5,12,10,10,10,-50,"2,900",45,49,69,35,104,37,-64.42,"5,731",114,117,86,63,139,50,-64.03,"7,112",235,304,225,241,418,181,-56.70,"38,767",5,6,4,5,14,7,-50,"3,695",8,11,9,8,23,0,-100,0,71,68,108,63,178,70,-60.67,"21,471","-74,07990691595279","4,699647467808344"
338,UPZ70,Jerusalem,Ene-Sep,24,20,28,27,42,18,24,-57.14,791,241,262,146,190,426,113,-73.47,"13,261",247,380,352,499,835,426,-48.98,"109,907",52,68,40,43,94,58,-38.30,"5,504",19,11,33,26,52,-53.85,"2,900",5,16,39,26,30,8,-73.33,"5,731",37,36,34,41,45,17,-62.22,"7,112",166,198,218,295,454,141,-68.94,"38,767",59,36,32,57,122,63,-48.36,"3,695",53,90,70,66,81,0,-100,0,552,506,509,387,907,415,-54.24,"21,471","-74,1652834882089","4,565662766586239"
339,UPZ46,Castilla,Ene-Sep,6,4,4,6,14,7,101,-50,791,295,216,150,238,447,159,-64.43,"13,261","1,149","1,345",940,"1,175","3,296","1,825",-44.63,"109,907",140,139,108,122,154,86,-44.16,"5,504",98,118,72,95,205,-50.73,"2,900",90,117,221,178,310,148,-52.26,"5,731",176,153,77,101,154,105,-31.82,"7,112",778,614,481,623,"1,802",703,-60.99,"38,767",56,71,72,68,145,96,-33.79,"3,695",56,62,45,52,59,0,-100,0,311,339,404,327,802,214,-73.32,"21,471","-74,1429281163456","4,642393883413379"
340,UPZ29,Minuto De Dios,Ene-Sep,5,3,4,6,12,6,48,-50,791,261,215,137,197,411,162,-60.58,"13,261","1,005","1,093",851,"1,035","2,570","1,442",-43.89,"109,907",124,104,87,75,131,94,-28.24,"5,504",38,49,31,62,105,-54.29,"2,900",136,134,188,148,296,172,-41.89,"5,731",157,166,99,62,158,64,-59.49,"7,112",633,509,448,550,"1,281",511,-60.11,"38,767",45,46,27,32,105,75,-28.57,"3,695",32,39,38,52,63,0,-100,0,346,319,405,335,714,229,-67.93,"21,471","-74,0981492168862","4,7084149348763065"
334,UPZ85,Bosa Central,Ene-Sep,23,28,21,18,45,25,56,-44.44,791,678,657,404,638,"1,065",395,-62.91,"13,261","1,282","1,668","1,426","1,982","4,307","1,928",-55.24,"109,907",241,191,160,133,237,97,-59.07,"5,504",59,44,63,62,129,-56.59,"2,900",109,195,315,313,424,149,-64.86,"5,731",273,214,135,169,283,97,-65.72,"7,112",833,888,755,979,"1,891",658,-65.20,"38,767",139,127,152,177,247,112,-54.66,"3,695",188,172,133,170,245,0,-100,0,"1,598","1,428","1,440","1,232","3,021",921,-69.51,"21,471","-74,1943938659622","4,607838372441527"
335,UPZ50,La Gloria,Ene-Sep,11,4,11,17,26,9,20,-65.38,791,294,253,198,239,417,134,-67.87,"13,261",302,437,412,442,848,511,-39.74,"109,907",68,67,40,36,104,31,-70.19,"5,504",17,17,18,13,38,-47.37,"2,900",9,4,15,11,23,10,-56.52,"5,731",49,81,68,43,119,55,-53.78,"7,112",214,234,250,259,444,161,-63.74,"38,767",26,47,33,34,111,50,-54.95,"3,695",60,80,49,65,71,0,-100,0,434,472,447,412,827,229,-72.31,"21,471","-74,08913674330819","4,546687243158008"
336,UPZ22,Doce De Octubre,Ene-Sep,2,1,3,3,8,3,26,-62.50,791,174,113,74,152,287,95,-66.90,"13,261",884,958,717,942,"2,463","1,469",-40.36,"109,907",98,78,70,54,117,50,-57.26,"5,504",32,33,27,26,63,-58.73,"2,900",78,66,94,79,174,83,-52.30,"5,731",124,162,113,112,240,66,-72.50,"7,112",521,396,393,456,968,492,-49.17,"38,767",11,20,12,30,33,25,-24.24,"3,695",22,31,29,41,143,0,-100,0,203,209,251,267,600,155,-74.17,"21,471","-74,07929994264602","4,671837987500388"
