Código upz,Nombre upz,Mes,Total Homicidios 2019,Total Lesiones Personales 2019,Total Hurto Personas 2019,Total Hurto Residencias 2019,Total Hurto Automotores 2019,Total Hurto Bicicletas 2019,Total Hurto Comercio 2019,Total Hurto Celulares 2019,Total Hurto Motocicletas 2019,Total Delitos Sexuales 2019,Total Violencia intrafamiliar 2019,coord_x,coord_y
UPZ80,Corabastos,Ene-Sep,10,276,654,52,17,70,73,320,27,44,326,"-74,16175959176819","4,630199835770584"
UPZ11,San Cristobal Norte,Ene-Sep,7,129,318,59,10,29,62,134,22,49,232,"-74,02318348226463","4,736285347296358"
UPZ59,Alfonso Lopez,Ene-Sep,14,183,210,72,3,6,29,106,11,44,267,"-74,10260363302606","4,4939588191396345"
UPZ25,La Floresta,Ene-Sep,0,27,598,38,12,49,117,304,6,11,68,"-74,07990691595279","4,699647467808344"
UPZ70,Jerusalem,Ene-Sep,20,262,380,68,11,16,36,198,36,90,506,"-74,1652834882089","4,565662766586239"
UPZ46,Castilla,Ene-Sep,4,216,"1,345",139,118,117,153,614,71,62,339,"-74,1429281163456","4,642393883413379"
UPZ29,Minuto De Dios,Ene-Sep,3,215,"1,093",104,49,134,166,509,46,39,319,"-74,0981492168862","4,7084149348763065"
UPZ85,Bosa Central,Ene-Sep,28,657,"1,668",191,44,195,214,888,127,172,"1,428","-74,1943938659622","4,607838372441527"
UPZ50,La Gloria,Ene-Sep,4,253,437,67,17,4,81,234,47,80,472,"-74,08913674330819","4,546687243158008"
UPZ22,Doce De Octubre,Ene-Sep,1,113,958,78,33,66,162,396,20,31,209,"-74,07929994264602","4,671837987500388"
UPZ108,Zona Industrial,Ene-Sep,5,180,"1,064",20,15,43,242,482,21,134,69,"-74,09718800846557","4,61892457470267"
UPZ48,Timiza,Ene-Sep,12,309,668,108,71,70,94,319,78,72,590,"-74,16178435145916","4,608607774884759"
UPZ96,Lourdes,Ene-Sep,7,146,147,23,4,3,26,67,6,20,180,"-74,07089098479598","4,5853869132492955"
UPZ75,Fontibon,Ene-Sep,9,281,"1,312",126,35,157,210,581,37,77,525,"-74,14393725837327","4,677027700922609"
UPZ51,Los Libertadores,Ene-Sep,4,193,200,38,8,4,49,100,15,38,373,"-74,09046854323338","4,532509268691319"
UPZ66,San Francisco,Ene-Sep,13,246,435,56,20,14,55,249,49,56,419,"-74,14759563939083","4,5641521909212015"
UPZ102,La Sabana,Ene-Sep,37,344,"3,308",63,31,91,389,"1,686",38,75,192,"-74,08448953256196","4,611045036856938"
UPZ55,Diana Turbay,Ene-Sep,12,175,245,62,11,6,20,127,33,53,306,"-74,10866466300357","4,544549762025024"
UPZ26,Las Ferias,Ene-Sep,3,202,"1,760",129,91,154,458,893,53,70,279,"-74,09072011696101","4,681598551247222"
UPZ113,Bavaria,Ene-Sep,3,86,569,31,30,36,196,284,21,13,71,"-74,12866940273511","4,636789034389064"
UPZ14,Usaquen,Ene-Sep,0,58,901,64,5,40,109,365,5,14,41,"-74,03143677025625","4,693142206515954"
UPZ67,Lucero,Ene-Sep,39,588,657,118,12,13,95,332,68,124,580,"-74,14954670933359","4,549873753962582"
UPZ57,Gran Yomasa,Ene-Sep,20,365,581,119,36,8,127,283,37,114,435,"-74,11094216840412","4,515859837123605"
UPZ71,Tibabuyes,Ene-Sep,14,342,927,157,54,85,86,415,79,140,"1,051","-74,11436631845552","4,745965834877601"
UPZ30,Boyaca Real,Ene-Sep,3,209,"1,402",170,55,126,185,688,46,49,377,"-74,10361253584358","4,694854406699924"
UPZ47,Kennedy Central,Ene-Sep,7,239,970,121,63,119,191,396,73,65,389,"-74,15631620235668","4,621781184348163"
UPZ73,Garces Navas,Ene-Sep,8,212,"1,070",192,61,160,273,531,64,63,426,"-74,12438088636749","4,714067568889054"
UPZ99,Chapinero,Ene-Sep,6,147,"3,296",82,10,80,417,"1,685",6,23,78,"-74,06382882029317","4,63849494094358"
UPZ52,La Flora,Ene-Sep,12,59,39,11,6,2,16,16,9,26,106,"-74,08939553663899","4,506976721459855"
UPZ10,La Uribe,Ene-Sep,1,42,661,33,4,45,208,312,7,14,90,"-74,03096172466397","4,751145388424158"
UPZ9,Verbenal,Ene-Sep,5,178,511,81,16,42,69,223,22,63,410,"-74,03327342952548","4,7633668802971165"
UPZ69,Ismael Perdomo,Ene-Sep,26,369,801,102,41,42,94,421,71,109,740,"-74,17093612932904","4,585334160231772"
UPZ19,El Prado,Ene-Sep,6,116,"1,264",74,34,81,122,624,5,14,194,"-74,05684620496702","4,724176743554546"
UPZ42,Venecia,Ene-Sep,32,561,"1,501",84,42,84,198,741,46,81,638,"-74,13942101729747","4,582924584113517"
UPZ34,20 De Julio,Ene-Sep,1,284,720,62,31,15,186,369,50,67,386,"-74,0948257914166","4,5650811940933425"
UPZ38,Restrepo,Ene-Sep,5,270,"1,372",82,66,57,502,694,50,43,232,"-74,10650055873359","4,590698424125771"
UPZ58,Comuneros,Ene-Sep,9,246,347,87,23,3,70,159,34,94,421,"-74,11760626788701","4,502574962405878"
UPZ77,Zona Franca,Ene-Sep,0,68,292,27,12,34,93,119,11,24,199,"-74,16132915483077","4,676125886978281"
UPZ35,Ciudad Jardin,Ene-Sep,2,70,376,33,20,9,28,194,16,13,86,"-74,09310356599123","4,583638348829751"
UPZ36,San Jose,Ene-Sep,1,143,496,43,28,12,62,226,33,33,149,"-74,10433858987253","4,573736495597945"
UPZ44,Americas,Ene-Sep,7,212,"1,432",99,95,67,197,691,35,34,221,"-74,13444028987192","4,622800090689898"
UPZ32,San Blas,Ene-Sep,7,220,284,61,22,7,62,177,28,68,464,"-74,0812801882573","4,56226776392246"
UPZ62,Tunjuelito,Ene-Sep,1,135,379,39,9,18,64,184,18,42,179,"-74,12902824592487","4,5584436826719745"
UPZ82,Patio Bonito,Ene-Sep,26,406,"1,408",129,41,146,101,905,115,91,665,"-74,17034809755746","4,640808125521836"
UPZ40,Ciudad Montes,Ene-Sep,12,145,894,112,104,44,160,413,59,34,342,"-74,11236172406137","4,607028706281296"
UPR3,Upr Rio Tunjuelo,Ene-Sep,17,46,19,6,1,0,4,9,4,20,50,"-74,15840977192953","4,3963461569168105"
UPZ28,El Rincon,Ene-Sep,25,435,"1,602",244,55,203,233,806,111,140,946,"-74,09445916602377","4,731901035382993"
UPZ98,Los Alcazares,Ene-Sep,3,177,"1,911",96,38,113,266,962,30,30,153,"-74,06818628285568","4,66243803607171"
UPZ61,Ciudad Usme,Ene-Sep,3,88,91,20,3,4,20,40,3,26,168,"-74,11158447565937","4,479741328065926"
UPZ37,Santa Isabel,Ene-Sep,8,102,632,60,39,37,93,255,20,32,144,"-74,09572757992483","4,598407321274059"
UPZ2,La Academia,Ene-Sep,0,3,62,0,0,0,16,30,1,4,2,"-74,04915137484052","4,785227897854102"
UPZ78,Tintal Norte,Ene-Sep,0,52,166,10,14,19,28,72,26,8,69,"-74,15316180802331","4,657269993902038"
UPZ83,Las Margaritas,Ene-Sep,0,38,263,16,10,29,10,146,11,14,72,"-74,17835385181162","4,637108309893359"
UPZ90,Pardo Rubio,Ene-Sep,0,77,620,89,12,25,81,289,5,28,93,"-74,05657117859715","4,640909643593059"
UPZ16,Santa Barbara,Ene-Sep,2,91,"2,217",99,4,102,253,976,8,21,57,"-74,04577528768364","4,696057836377162"
UPZ114,Modelia,Ene-Sep,2,50,743,60,10,60,79,326,9,12,75,"-74,12241670464782","4,666485384889461"
UPZ103,Parque Salitre,Ene-Sep,0,18,191,6,3,12,19,99,1,4,14,"-74,08539877987769","4,661106455122858"
UPZ93,Las Nieves,Ene-Sep,8,277,"3,455",24,9,47,370,"1,816",10,29,84,"-74,0741635646646","4,604978847770582"
UPZ1,Paseo De Los Libertadores,Ene-Sep,0,11,134,3,4,5,52,68,2,1,11,"-74,03373463169939","4,791482693327691"
UPZ105,Jardin Botanico,Ene-Sep,0,15,205,3,0,17,12,101,1,4,8,"-74,1018609952756","4,662940860565654"
UPZ17,San Jose De Bavaria,Ene-Sep,4,31,721,37,20,29,178,366,10,14,87,"-74,05573056046931","4,762617490683724"
UPZ79,Calandaima,Ene-Sep,11,148,509,54,52,63,64,198,65,56,336,"-74,1621124388491","4,6487558986716095"
UPZ56,Danubio,Ene-Sep,9,200,377,33,10,3,153,207,24,35,173,"-74,11603704585922","4,535363946386261"
UPZ18,Britalia,Ene-Sep,1,56,529,67,18,61,43,254,10,27,184,"-74,05682380296119","4,747592365162064"
UPZ91,Sagrado Corazon,Ene-Sep,0,70,"1,278",22,5,42,151,605,4,14,24,"-74,06593684138778","4,6198814312476895"
UPZ76,Fontibon San Pablo,Ene-Sep,3,57,213,39,12,27,35,97,5,21,133,"-74,16060568429305","4,694824759552753"
UPZ87,Tintal Sur,Ene-Sep,9,209,282,60,11,38,43,111,27,89,402,"-74,21028057343607","4,62948960416288"
UPZ31,Santa Cecilia,Ene-Sep,3,92,966,86,32,102,112,452,28,29,178,"-74,10815409303174","4,676938635809408"
